	   ------------词法分析结果------------
     记号类别   字符串  常数值  函数指针    所在行号
	19	SIN	0	00365C30	27
	11	(	0	00000000	27
	24	-0	0	00000000	27
	9	T	0	00000000	27
	16	*	0	00000000	27
	11	(	0	00000000	27
	11	(	0	00000000	27
	20	10	10	00000000	27
	17	/	0	00000000	27
	20	7	7	00000000	27
	12	)	0	00000000	27
	15	-	0	00000000	27
	20	1	1	00000000	27
	12	)	0	00000000	27
	12	)	0	00000000	27
	12	)	0	00000000	27
	10	;	0	00000000	27
